Time,Reporter,Type,Content,Screenshot,RTF Note
2022-03-27 11:01:27,Olga,(Rapid Reporter version),"1.22.02.28",,
2022-03-27 11:01:27,Olga,Session Reporter,"Olga",,
2022-03-27 11:01:27,Olga,Session Charter,"Menu boczne w aplikacji Mr Buggy 3",,
2022-03-27 11:02:06,Olga,Setup,"Aplikacja Mr Buggy uruchomiona bez logowania",,
2022-03-27 11:02:59,Olga,Test,"Sprawdzam czy menu boczne jest widoczne",,
2022-03-27 11:05:31,Olga,autogenerated,"extended note saved",,1_20220327_110531.rtf
2022-03-27 11:05:38,Olga,Note,"W menu bocznym widoczne elementy",,1_20220327_110531.rtf
2022-03-27 11:08:43,Olga,autogenerated,"extended note saved",,2_20220327_110843.rtf
2022-03-27 11:09:31,Olga,Question,"Czy pole 'Czas' powinno pojawiać się w wersji pokonkursowej",,2_20220327_110843.rtf
2022-03-27 11:11:19,Olga,autogenerated,"extended note saved",,3_20220327_111119.rtf
2022-03-27 11:33:21,Olga,Session End. Duration,"00:31:54",,
